x3,x03 (rounded arch),x13 (pointed arch),x23 (no pattern)
x02,0.194,0.311,0.219
x12 (curved right),0.472,0.318,0.156
x22 (curved left),0.28,0.0303,0
x32 (both curved),0.167,0.182,0.125
x42 (no pattern),0.139,0.159,0.05
x05,0.361,0.394,0.313
x15 (downward),0.083,0.114,0.125
x25 (even),0.222,0.091,0.031
x35 (no pattern),0.333,0.402,0.531
x06,0,0.023,0
x16 (single stroke t),0.389,0.318,0.25
x26 (looped t),0.083,0.152,0.156
x36 (closed t),0.361,0.303,0.203
x46 (mixed t shapes),0.167,0.204,0.281
