x4,x04 (upper staff),x14 (lower staff),x24 (above staff),x34 (no pattern)
x01,0.804,0.571,1,0.794
x11 (t even with h),0.021,0,0,0
x21 (t taller than h),0.056,0.143,0,0
x31 (no set pattern),0.119,0.286,0,0.206
x02,0.308,0.238,0,0.176
x12 (curved right),0.322,0.286,1,0.323
x22 (curved left),0.028,0,0,0.029
x32 (both curved),0.154,0.19,0,0.235
x42 (no pattern),0.196,0.286,0,0.235
x06,0.021,0,0,0
x16 (single stroke t),0.28,0.571,0,0.353
x26 (looped t),0.154,0.143,0,0.088
x36 (closed t),0.219,0.19,0.5,0.323
x46 (mixed t),0.217,0.095,0.5,0.235
