x6,x06 (tented),x16 (single stroke),x26 (looped),x36 (closed),x46 (mixed)
x01,1,0.687,0.714,0.873,0.809
x11 (t even with h),0,0.031,0.036,0,0
x21 (t taller than h),0,0.143,0.036,0,0.048
x31 (no set pattern),0,0.143,0.214,0.206,0.143
x02,0,0.281,0.214,0.317,0.262
x12 (curved right),0.333,0.296,0.394,0.317,0.309
x22 (curved left),0,0,0,0.079,0
x32 (both curved),0.666,0.234,0.142,0.095,0.167
x42 (no pattern),0,0.187,0.25,0.19,0.262
x03,0.173,0.136,0.318,0.146,0.143
x13 (pointed arch),0.693,0.682,0.571,0.646,0.643
x23 (no pattern),0.133,0.182,0.041,0.207,0.214
x04,1,0.625,0.786,0.746,0.738
x14 (lower staff) ,0,0.187,0.107,0.063,0.048
x24 (above staff) ,0,0,0.107,0.016,0.024
x34 (no pattern),0,0.187,0.107,0.175,0.19
